frame_index,stamp_sec
0,1782605728.769397
1,1782605728.8039362
2,1782605728.8371427
3,1782605728.8712509
4,1782605728.9258518
5,1782605728.9747543
6,1782605729.0294988
7,1782605729.069481
8,1782605729.1025813
9,1782605729.1364002
10,1782605729.172829
11,1782605729.2090187
12,1782605729.2404633
13,1782605729.2906914
14,1782605729.3361373
15,1782605729.3697784
16,1782605729.4040527
17,1782605729.4364235
18,1782605729.4713182
19,1782605729.5173962
20,1782605729.587649
21,1782605729.6382835
22,1782605729.6699448
23,1782605729.7025905
24,1782605729.7364779
25,1782605729.7703598
26,1782605729.8065603
27,1782605729.8413389
28,1782605729.8778226
29,1782605729.9095745
30,1782605729.9444962
31,1782605729.9728096
32,1782605730.0272934
33,1782605730.0561256
34,1782605730.102755
35,1782605730.1357937
36,1782605730.1699028
37,1782605730.202847
38,1782605730.2381434
39,1782605730.2792299
40,1782605730.3065948
41,1782605730.3447895
42,1782605730.3791554
43,1782605730.4133468
44,1782605730.4705586
45,1782605730.5037253
46,1782605730.5363889
47,1782605730.5721009
48,1782605730.6060774
49,1782605730.6381931
50,1782605730.6711252
51,1782605730.7062268
52,1782605730.7644947
53,1782605730.8023105
54,1782605730.83601
55,1782605730.8701363
56,1782605730.903563
57,1782605730.9366045
58,1782605730.9694233
59,1782605731.0030835
60,1782605731.0363755
61,1782605731.0695086
62,1782605731.105204
63,1782605731.1361122
64,1782605731.1729372
65,1782605731.2302353
66,1782605731.2691402
67,1782605731.303813
68,1782605731.3370163
69,1782605731.369625
70,1782605731.4163103
71,1782605731.4695375
72,1782605731.5038536
73,1782605731.5386848
74,1782605731.5696852
75,1782605731.6020944
76,1782605731.635588
77,1782605731.6717854
78,1782605731.7037466
79,1782605731.747146
80,1782605731.778481
81,1782605731.817735
82,1782605731.8699703
83,1782605731.9028816
84,1782605731.9362972
85,1782605731.9703286
86,1782605732.002692
87,1782605732.0361466
88,1782605732.0700207
89,1782605732.102669
90,1782605732.14457
91,1782605732.1762235
92,1782605732.2036855
93,1782605732.2376196
94,1782605732.2772105
95,1782605732.3108306
96,1782605732.3417509
97,1782605732.371902
98,1782605732.4264493
